    1	[  admit]	r 
    2	[  begin]	p 
    3	[contRun]	p 
    4	[contRun]	p 
    5	[contRun]	p 
    6	[contRun]	p 
    7	[contRun]	p 
    8	[contRun]	p 
    9	[contRun]	p 
   10	[contRun]	p 
   11	[contRun]	p 
   12	[contRun]	p 
   13	[contRun]	p 
   14	[contRun]	p 
   15	[contRun]	p 
   16	[contRun]	p 
   17	[contRun]	p 
   18	[contRun]	p 
   19	[contRun]	p 
   20	[contRun]	p 
   21	[contRun]	p 
   22	[contRun]	p 
   23	[contRun]	p 
   24	[contRun]	p 
   25	[contRun]	p 
   26	[contRun]	p 
   27	[contRun]	p 
   28	[contRun]	p 
   29	[contRun]	p 
   30	[contRun]	p 
   31	[contRun]	p 
   32	[contRun]	p 
   33	[contRun]	p 
   34	[contRun]	p 
   35	[contRun]	p 
   36	[contRun]	p 
   37	[contRun]	p 
   38	[contRun]	p 
   39	[contRun]	p 
   40	[contRun]	p 
   41	[contRun]	p 
   42	[contRun]	p 
   43	[contRun]	p 
   44	[contRun]	p 
   45	[contRun]	p 
   46	[contRun]	p 
   47	[contRun]	p 
   48	[contRun]	p 
   49	[contRun]	p 
   50	[contRun]	p 
   51	[contRun]	p 
   52	[contRun]	p 
   53	[contRun]	p 
   54	[contRun]	p 
   55	[contRun]	p 
   56	[contRun]	p 
   57	[contRun]	p 
   58	[contRun]	p 
   59	[contRun]	p 
   60	[contRun]	p 
   61	[contRun]	p 
   62	[contRun]	p 
   63	[contRun]	p 
   64	[contRun]	p 
   65	[contRun]	p 
   66	[contRun]	p 
   67	[contRun]	p 
   68	[contRun]	p 
   69	[contRun]	p 
   70	[contRun]	p 
   71	[contRun]	p 
   72	[contRun]	p 
   73	[contRun]	p 
   74	[contRun]	p 
   75	[contRun]	p 
   76	[contRun]	p 
   77	[contRun]	p 
   78	[contRun]	p 
   79	[contRun]	p 
   80	[contRun]	p 
   81	[contRun]	p 
   82	[contRun]	p 
   83	[contRun]	p 
   84	[contRun]	p 
   85	[contRun]	p 
   86	[contRun]	p 
   87	[contRun]	p 
   88	[contRun]	p 
   89	[contRun]	p 
   90	[contRun]	p 
   91	[contRun]	p 
   92	[contRun]	p 
   93	[contRun]	p 
   94	[contRun]	p 
   95	[contRun]	p 
   96	[contRun]	p 
   97	[contRun]	p 
   98	[contRun]	p 
   99	[contRun]	p 
  100	[contRun]	p 
  101	[contRun]	p 
  102	[ finish]	d 
